Player1,Player2,A_Coop_Rate,B_Coop_Rate,Mutual_Coop_Rate,Mutual_Defect_Rate
TitForTat,TitForTat,1.0,1.0,1.0,0.0
TitForTat,TitForTwoTats,1.0,1.0,1.0,0.0
TitForTat,AlwaysCooperate,1.0,1.0,1.0,0.0
TitForTat,MostlyCooperate,0.800868201485692,0.8004285128726494,0.6408950609765456,0.039598346618203994
TitForTat,AlwaysDefect,0.0033649627082176525,0.0,0.0,0.9966350372917822
TitForTat,MostlyDefect,0.19960136622782268,0.19696059252798107,0.041095945238455736,0.6445339864826519
TitForTat,Random,0.4979943813567595,0.4964508065913595,0.2483765943596003,0.25393140641148126
TitForTat,GrimTrigger,1.0,1.0,1.0,0.0
TitForTat,Mirror,1.0,1.0,1.0,0.0
TitForTat,Bearer,1.0,1.0,1.0,0.0
TitForTwoTats,TitForTat,1.0,1.0,1.0,0.0
TitForTwoTats,TitForTwoTats,1.0,1.0,1.0,0.0
TitForTwoTats,AlwaysCooperate,1.0,1.0,1.0,0.0
TitForTwoTats,MostlyCooperate,0.02854745527621722,0.7983535372636035,0.021886468645047806,0.1949854761052273
TitForTwoTats,AlwaysDefect,0.006693800777754179,0.0,0.0,0.993306199222246
TitForTwoTats,MostlyDefect,0.008344418174054605,0.19906642641031935,0.0016592455429909254,0.7942484009586172
TitForTwoTats,Random,0.013783185878115334,0.4979160802723515,0.007090231289665468,0.4953909651391985
TitForTwoTats,GrimTrigger,1.0,1.0,1.0,0.0
TitForTwoTats,Mirror,1.0,1.0,1.0,0.0
TitForTwoTats,Bearer,1.0,1.0,1.0,0.0
AlwaysCooperate,TitForTat,1.0,1.0,1.0,0.0
AlwaysCooperate,TitForTwoTats,1.0,1.0,1.0,0.0
AlwaysCooperate,AlwaysCooperate,1.0,1.0,1.0,0.0
AlwaysCooperate,MostlyCooperate,1.0,0.7996555962218889,0.7996555962218889,0.0
AlwaysCooperate,AlwaysDefect,1.0,0.0,0.0,0.0
AlwaysCooperate,MostlyDefect,1.0,0.2018427417186797,0.2018427417186797,0.0
AlwaysCooperate,Random,1.0,0.4991411606678616,0.4991411606678616,0.0
AlwaysCooperate,GrimTrigger,1.0,1.0,1.0,0.0
AlwaysCooperate,Mirror,1.0,1.0,1.0,0.0
AlwaysCooperate,Bearer,1.0,1.0,1.0,0.0
MostlyCooperate,TitForTat,0.8016593138333051,0.8023547694747396,0.6430471265018621,0.03903304319381764
MostlyCooperate,TitForTwoTats,0.8005557610511089,0.032149859784924864,0.02547627160828679,0.19277065077225267
MostlyCooperate,AlwaysCooperate,0.802015646514946,1.0,0.802015646514946,0.0
MostlyCooperate,MostlyCooperate,0.7985231361612344,0.7985547323964144,0.6388110411915436,0.04173317263389488
MostlyCooperate,AlwaysDefect,0.8015180386679472,0.0,0.0,0.19848196133205243
MostlyCooperate,MostlyDefect,0.8025040210542298,0.19764115399787527,0.1596050596379713,0.15945988458586646
MostlyCooperate,Random,0.8007981011122389,0.4984788408828611,0.398688849944452,0.09941190794935202
MostlyCooperate,GrimTrigger,0.7945797582059363,0.018436742636794106,0.015103166322452476,0.20208666547972165
MostlyCooperate,Mirror,0.7987066894850503,0.79930888439172,0.6380477693364349,0.04003219545966413
MostlyCooperate,Bearer,0.8017633401953131,0.7610613375153527,0.6095472936583205,0.046722615947654936
AlwaysDefect,TitForTat,0.0,0.0033304228616998772,0.0,0.9966695771383003
AlwaysDefect,TitForTwoTats,0.0,0.006690957019807469,0.0,0.9933090429801927
AlwaysDefect,AlwaysCooperate,0.0,1.0,0.0,0.0
AlwaysDefect,MostlyCooperate,0.0,0.7951750169376514,0.0,0.20482498306234856
AlwaysDefect,AlwaysDefect,0.0,0.0,0.0,1.0
AlwaysDefect,MostlyDefect,0.0,0.19826067516174356,0.0,0.8017393248382564
AlwaysDefect,Random,0.0,0.4996415991256148,0.0,0.5003584008743853
AlwaysDefect,GrimTrigger,0.0,0.0033367782284221166,0.0,0.9966632217715783
AlwaysDefect,Mirror,0.0,0.003366064264351396,0.0,0.9966339357356478
AlwaysDefect,Bearer,0.0,0.01333427768219915,0.0,0.9866657223178008
MostlyDefect,TitForTat,0.19717267450753415,0.19984562960258298,0.03978480136367644,0.6427664972535596
MostlyDefect,TitForTwoTats,0.20225791635099452,0.008052098361820626,0.0014255358628813108,0.7911155211500663
MostlyDefect,AlwaysCooperate,0.19724695682499466,1.0,0.19724695682499466,0.0
MostlyDefect,MostlyCooperate,0.19952227201635803,0.7967013074786711,0.15799021287353518,0.16176663337850625
MostlyDefect,AlwaysDefect,0.1955899360741794,0.0,0.0,0.8044100639258205
MostlyDefect,MostlyDefect,0.2003059505790935,0.20209146912059936,0.040820742348503615,0.6384233226488106
