Player1,Player2,A_Coop_Rate,B_Coop_Rate,Mutual_Coop_Rate,Mutual_Defect_Rate
MostlyDefect,Random,0.199807904755063,0.5034339015844416,0.10036559917818101,0.3971237928386763
MostlyDefect,GrimTrigger,0.19732421709928996,0.004269931209124976,0.0009218533419419576,0.7993277050335267
MostlyDefect,Mirror,0.1981061686855845,0.2009893223771768,0.0389624572559736,0.639866966193212
MostlyDefect,Bearer,0.20281924351110067,0.04492454509683668,0.009160133183238257,0.7614163445753008
Random,TitForTat,0.5015022337379582,0.5029346394395984,0.25291528149789644,0.24847840832033957
Random,TitForTwoTats,0.49707592463578315,0.013499539794726411,0.006852522141024387,0.49627705771051484
Random,AlwaysCooperate,0.5067625692269984,1.0,0.5067625692269984,0.0
Random,MostlyCooperate,0.49715162713595873,0.7989142138107427,0.3970519609941914,0.10098612004749043
Random,AlwaysDefect,0.4950786184571351,0.0,0.0,0.5049213815428649
Random,MostlyDefect,0.49858645815894825,0.20168771501980462,0.09830121646916337,0.39802704329041083
Random,Random,0.49844392782616176,0.4955926378300159,0.2465010657352785,0.252464500079101
Random,GrimTrigger,0.5063549038872283,0.007065548344703304,0.00374023701926337,0.49031978478733174
Random,Mirror,0.49705859092055454,0.49865087679175296,0.24790747238501293,0.25219800467270514
Random,Bearer,0.49344885255395676,0.38032175499323395,0.1888467794145217,0.31507617186733083
GrimTrigger,TitForTat,1.0,1.0,1.0,0.0
GrimTrigger,TitForTwoTats,1.0,1.0,1.0,0.0
GrimTrigger,AlwaysCooperate,1.0,1.0,1.0,0.0
GrimTrigger,MostlyCooperate,0.016382538049961898,0.8013331042929989,0.013039853846564227,0.19532421150360324
GrimTrigger,AlwaysDefect,0.003360087228716257,0.0,0.0,0.996639912771284
GrimTrigger,MostlyDefect,0.004081685118781426,0.19955457375160104,0.0007651870409805544,0.7971289281705982
GrimTrigger,Random,0.006088690098665268,0.49951785618712075,0.0027348296590081022,0.49712828337322224
GrimTrigger,GrimTrigger,1.0,1.0,1.0,0.0
GrimTrigger,Mirror,1.0,1.0,1.0,0.0
GrimTrigger,Bearer,1.0,1.0,1.0,0.0
Mirror,TitForTat,1.0,1.0,1.0,0.0
Mirror,TitForTwoTats,1.0,1.0,1.0,0.0
Mirror,AlwaysCooperate,1.0,1.0,1.0,0.0
Mirror,MostlyCooperate,0.7944756268719982,0.7937758542379819,0.6298560581630823,0.04160457705310207
Mirror,AlwaysDefect,0.0033311202135410858,0.0,0.0,0.9966688797864588
Mirror,MostlyDefect,0.20036764409860944,0.19739860586891445,0.04043462537051481,0.6426683754029909
Mirror,Random,0.4973227169500231,0.4957727909575618,0.24628419632129744,0.2531886884137123
Mirror,GrimTrigger,1.0,1.0,1.0,0.0
Mirror,Mirror,1.0,1.0,1.0,0.0
Mirror,Bearer,1.0,1.0,1.0,0.0
Bearer,TitForTat,1.0,1.0,1.0,0.0
Bearer,TitForTwoTats,1.0,1.0,1.0,0.0
Bearer,AlwaysCooperate,1.0,1.0,1.0,0.0
Bearer,MostlyCooperate,0.7578187250536068,0.7989715246964921,0.6058053507662784,0.04901510101617987
Bearer,AlwaysDefect,0.013366343763807107,0.0,0.0,0.9866336562361928
Bearer,MostlyDefect,0.042569329821232404,0.2007800087536129,0.007542091517241006,0.7641927529423955
Bearer,Random,0.3870357961042199,0.49849214546305765,0.19496395494361735,0.30943601337633964
Bearer,GrimTrigger,1.0,1.0,1.0,0.0
Bearer,Mirror,1.0,1.0,1.0,0.0
Bearer,Bearer,1.0,1.0,1.0,0.0
