Player1,Player2,A_avg,B_avg,A_std,B_std
TitForTat,TitForTat,3.0,3.0,0.0,0.0
TitForTat,TitForTwoTats,3.0,3.0,0.0,0.0
TitForTat,AlwaysCooperate,3.0,3.0,0.0,0.0
TitForTat,MostlyCooperate,2.761766666666667,2.7649333333333335,0.03710182684930158,0.036987925957894234
TitForTat,AlwaysDefect,0.9966666666666667,1.0133333333333334,0.0,0.0
TitForTat,MostlyDefect,1.5597,1.5715333333333334,0.05763890468540614,0.05712446450028607
TitForTat,Random,2.2548,2.2613,0.06266014150425557,0.06275152941916588
TitForTat,GrimTrigger,3.0,3.0,0.0,0.0
TitForTat,Mirror,3.0,3.0,0.0,0.0
TitForTwoTats,TitForTat,3.0,3.0,0.0,0.0
TitForTwoTats,TitForTwoTats,3.0,3.0,0.0,0.0
TitForTwoTats,AlwaysCooperate,3.0,3.0,0.0,0.0
TitForTwoTats,MostlyCooperate,4.204133333333334,0.1998,0.09419969332339795,0.025550907789917934
TitForTwoTats,AlwaysDefect,1.0,1.0,0.0,0.0
TitForTwoTats,MostlyDefect,1.7937333333333334,0.8015666666666666,0.09190246037088572,0.022975615092721433
TitForTwoTats,Random,3.0001333333333333,0.49996666666666667,0.13059174722946487,0.03264793680736622
TitForTwoTats,GrimTrigger,1.0001333333333333,0.9999666666666667,0.0013266499161421685,0.0003316624790355366
TitForTwoTats,Mirror,1.0133333333333334,0.9966666666666667,0.0,0.0
AlwaysCooperate,TitForTat,3.0,3.0,0.0,0.0
AlwaysCooperate,TitForTwoTats,0.0,5.0,0.0,0.0
AlwaysCooperate,AlwaysCooperate,3.0,3.0,0.0,0.0
AlwaysCooperate,MostlyCooperate,2.4057,3.3962,0.0688368360690699,0.0458912240460466
AlwaysCooperate,AlwaysDefect,0.0,5.0,0.0,0.0
AlwaysCooperate,MostlyDefect,0.5984,4.601066666666667,0.0806439086354326,0.053762605756955094
AlwaysCooperate,Random,1.4866,4.008933333333333,0.08265857487278619,0.05510571658185746
AlwaysCooperate,GrimTrigger,0.0,5.0,0.0,0.0
AlwaysCooperate,Mirror,3.0,3.0,0.0,0.0
MostlyCooperate,TitForTat,2.7674666666666665,2.7641333333333336,0.031066666666666663,0.03203165101374992
MostlyCooperate,TitForTwoTats,0.19946666666666665,4.202133333333333,0.024746357756692646,0.09898543102677056
MostlyCooperate,AlwaysCooperate,3.404533333333333,2.3931999999999998,0.046426812176681764,0.06964021826502272
MostlyCooperate,MostlyCooperate,2.7639,2.7632333333333334,0.0838266133820943,0.08175499305173287
MostlyCooperate,AlwaysDefect,0.20433333333333334,4.182666666666666,0.023694818936730547,0.09477927574692216
MostlyCooperate,MostlyDefect,0.846,3.8378333333333337,0.07694153624668539,0.09436733780521966
MostlyCooperate,Random,1.7942666666666667,3.3152666666666666,0.0844210084437912,0.08996935280663325
MostlyCooperate,GrimTrigger,0.19793333333333332,4.208266666666667,0.022034215816921342,0.08813686326768534
MostlyCooperate,Mirror,2.756566666666667,2.7530666666666668,0.031160712443716692,0.030835333268472685
AlwaysDefect,TitForTat,1.0133333333333334,0.9966666666666667,0.0,0.0
AlwaysDefect,TitForTwoTats,1.0,1.0,0.0,0.0
AlwaysDefect,AlwaysCooperate,5.0,0.0,0.0,0.0
AlwaysDefect,MostlyCooperate,4.193066666666667,0.20173333333333332,0.09507854063293614,0.023769635158234034
AlwaysDefect,AlwaysDefect,1.0,1.0,0.0,0.0
AlwaysDefect,MostlyDefect,1.8058666666666667,0.7985333333333334,0.0880064644090295,0.022001616102257378
AlwaysDefect,Random,2.9795999999999996,0.5051,0.11962095691530536,0.029905239228826336
AlwaysDefect,GrimTrigger,1.0,1.0,0.0,0.0
AlwaysDefect,Mirror,1.0133333333333334,0.9966666666666667,0.0,0.0
MostlyDefect,TitForTat,1.5584,1.5444,0.061448225722509214,0.06132405726955777
MostlyDefect,TitForTwoTats,0.7963666666666667,1.814533333333333,0.0232048606019419,0.0928194424077676
MostlyDefect,AlwaysCooperate,4.6004000000000005,0.5993999999999999,0.05084897027254124,0.07627345540881178
MostlyDefect,MostlyCooperate,3.8474,0.8393999999999999,0.09764741562262554,0.08264029149136502
MostlyDefect,AlwaysDefect,0.8009000000000001,1.7963999999999998,0.024997133168958928,0.09998853267583571
MostlyDefect,MostlyDefect,1.5439666666666667,1.5736333333333334,0.0982679952420364,0.09513159890967413
MostlyDefect,Random,2.7056999999999998,1.2067,0.11593608871557927,0.0887749902218462
MostlyDefect,GrimTrigger,0.7998666666666666,1.8005333333333333,0.022454497198655873,0.08981798879462348
MostlyDefect,Mirror,1.5747,1.5623666666666667,0.0587066057233388,0.05820709196958353
Random,TitForTat,2.2575,2.249,0.06051514961836692,0.0623440276031135
Random,TitForTwoTats,0.4933666666666667,3.026533333333333,0.027866726475214928,0.11146690590085971
Random,AlwaysCooperate,4.0006,1.4990999999999999,0.05362499417249386,0.0804374912587408
Random,MostlyCooperate,3.2966333333333337,1.8011333333333335,0.0974445654376545,0.09926644280252347
Random,AlwaysDefect,0.5001666666666666,2.9993333333333334,0.03121386800054674,0.12485547200218697
Random,MostlyDefect,1.1890333333333334,2.7120333333333333,0.08519688961458628,0.10837988230704484
Random,Random,2.2566666666666664,2.2428333333333335,0.11503043075638725,0.11348555953169648
Random,GrimTrigger,0.5,3.0,0.028015868519267597,0.11206347407707037
Random,Mirror,2.262366666666667,2.253033333333333,0.06225448667454509,0.061674945390238406
GrimTrigger,TitForTat,1.0133333333333334,0.9966666666666667,0.0,0.0
